CO2_EMISS_CURR_PER_FLOOR_AREA,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISSIONS_POTENTIAL,ENVIRONMENT_IMPACT_POTENTIAL,MAINHEAT_ENV_EFF,MAINHEAT_ENERGY_EFF,CURRENT_ENERGY_EFFICIENCY,LIGHTING_COST_CURRENT,MAINS_GAS_FLAG,HOT_WATER_ENV_EFF,FLOOR_HEIGHT,POTENTIAL_ENERGY_EFFICIENCY,CURRENT_ENERGY_RATING,HOT_WATER_COST_CURRENT,MAINHEATC_ENERGY_EFF,ENERGY_CONSUMPTION_CURRENT
31,111,3.9,2.5,80,1,1,73,89,1,1,2.41,83,2,100,1,178
36,61,2.6,0.8,88,1,1,70,61,1,1,2.35,88,2,91,1,202
22,65,2.5,1.4,85,1,1,78,99,1,1,2.46,87,2,107,1,124
25,48,1.8,0.6,90,1,1,77,64,1,1,2.4,90,2,109,1,144
40,122,4.6,2.5,76,1,1,65,86,1,1,2.43,81,3,129,1,227
29,96,3.0,1.8,81,1,1,73,109,1,1,2.38,84,2,101,1,164
31,85,2.8,1.4,84,1,1,72,89,1,1,2.39,86,2,127,1,177
35,58,2.0,0.6,91,1,1,73,51,1,1,2.29,90,2,81,1,199
35,131,6.8,4.5,71,1,1,66,216,1,1,2.33,78,3,150,1,201
32,153,2.1,1.7,78,1,1,73,121,1,1,2.4,77,2,103,1,183
30,165,1.1,1.1,82,1,1,77,39,1,1,2.4,78,2,69,1,170
39,185,2.6,2.2,73,1,1,70,82,1,1,2.39,74,2,119,1,219
45,161,4.5,2.9,71,1,1,63,99,1,1,2.47,77,3,157,1,254
41,71,1.9,0.6,90,1,1,71,50,1,1,2.38,89,2,108,1,233
33,76,2.6,1.1,87,1,1,73,64,1,1,2.35,88,2,161,1,190
47,86,3.9,1.3,86,1,1,65,67,1,1,2.41,87,3,121,1,264
36,83,3.5,1.4,84,1,1,69,128,1,1,2.45,86,2,140,1,207
34,114,3.5,1.8,81,1,1,66,158,1,1,2.51,81,3,129,1,209
39,122,3.2,1.8,80,1,1,69,102,1,1,2.35,83,2,83,1,221
40,104,3.4,1.6,83,1,1,69,67,1,1,2.31,85,2,121,1,226
45,88,4.8,1.7,83,1,1,62,138,1,1,2.36,85,3,160,1,254
33,126,7.3,4.5,75,1,1,65,148,1,1,2.33,78,3,131,1,206
22,114,3.7,3.0,80,1,1,78,98,1,1,2.4,82,2,127,1,140
42,98,3.7,1.5,82,1,1,65,135,1,1,2.4,84,3,132,1,241
43,119,7.0,3.5,76,1,1,62,165,1,1,2.47,81,3,131,1,243
18,105,0.7,0.7,88,1,1,82,37,1,1,2.34,82,1,60,1,105
42,96,4.7,1.9,82,1,1,66,84,1,1,2.43,85,3,141,1,237
30,108,3.2,2.0,80,1,1,74,79,1,1,2.4,84,2,94,1,172
37,102,2.7,1.4,83,1,1,71,60,1,1,2.41,85,2,118,1,213
45,88,3.1,1.1,86,1,1,67,57,1,1,2.36,87,3,83,1,255
37,115,3.3,1.8,81,1,1,70,71,1,1,2.47,84,2,123,1,210
45,81,3.2,1.1,87,1,1,66,73,1,1,2.49,87,3,88,1,257
35,88,3.4,1.5,83,1,1,70,73,1,1,2.29,86,2,87,1,200
34,126,4.5,2.9,75,1,1,69,118,1,1,2.4,80,2,156,1,195
41,124,4.3,2.3,77,1,1,66,78,1,1,2.4,81,3,135,1,230
27,113,4.5,3.4,74,1,1,73,136,1,1,2.41,80,2,104,1,149
41,102,3.3,1.6,81,1,1,66,117,1,1,2.29,83,3,132,1,227
38,61,1.9,0.6,89,1,1,71,45,1,1,2.35,89,2,69,1,217
16,92,1.0,1.0,87,1,1,83,60,1,1,2.43,83,1,79,1,92
22,128,1.6,1.6,80,1,1,77,60,1,1,2.5,77,2,97,1,128
53,88,3.3,1.0,85,1,1,62,54,1,1,2.31,86,3,143,1,299
35,54,1.7,0.5,90,1,1,73,44,1,1,2.32,89,2,68,1,197
24,69,2.4,1.3,85,1,1,77,82,1,1,2.4,87,2,111,1,136
35,101,3.8,2.0,82,1,1,70,141,1,1,2.4,85,2,132,1,196
35,184,1.3,1.2,80,1,1,75,35,1,1,2.4,76,2,72,1,199
25,88,4.5,2.8,81,1,1,76,111,1,1,2.4,85,2,141,1,143
36,115,3.6,2.1,79,1,1,70,77,1,1,2.41,83,2,133,1,203
48,163,3.4,2.1,73,1,1,63,60,1,1,2.44,78,3,109,1,275
37,103,2.7,1.4,81,1,1,70,67,1,1,2.29,84,2,118,1,209
58,137,3.8,1.6,80,1,1,60,55,1,1,2.44,82,3,132,1,331
38,99,2.2,1.1,84,1,1,71,51,1,1,2.4,86,2,86,1,214
44,130,5.3,2.8,77,1,1,64,115,1,1,2.35,81,3,130,1,252
38,119,7.1,4.1,73,1,1,65,109,1,1,2.43,79,3,152,1,206
28,70,2.5,1.1,86,1,1,75,79,1,1,2.37,87,2,96,1,161
